county,date,aqi_mean,aqi_max,pm25_mean,pm25_max,observation_count,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,fire_event_count_radius,smoke_present,min_fire_distance_km,fire_radius_km,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_roll3_mean,aqi_roll7_mean,target_next_day_aqi,target_next_day_exceedance
Fresno,2018-04-25,59.708333333333336,72.0,,,24.0,22.6,32.0,13.2,0.0,12.9,0.0,0.0,1500.0,150.0,54.708333333333336,52.208333333333336,50.16666666666666,52.36111111111111,44.464285714285715,54.75,0.0
Fresno,2018-04-26,54.75,63.0,,,24.0,22.65,30.9,14.4,0.0,15.8,0.0,0.0,1500.0,150.0,59.708333333333336,54.708333333333336,52.208333333333336,55.541666666666664,47.482142857142854,48.54166666666666,0.0
Fresno,2018-04-27,48.54166666666666,65.0,,,24.0,20.75,29.4,12.1,0.0,21.7,0.0,0.0,1500.0,150.0,54.75,59.708333333333336,54.708333333333336,56.38888888888889,51.333333333333336,37.16666666666666,0.0
Fresno,2018-04-28,37.16666666666666,46.0,,,24.0,17.45,23.7,11.2,0.0,23.0,0.0,0.0,1500.0,150.0,48.54166666666666,54.75,59.708333333333336,54.333333333333336,53.02380952380952,23.33333333333333,0.0
Fresno,2018-04-29,23.33333333333333,46.0,,,24.0,16.45,22.0,10.9,0.0,23.8,0.0,0.0,1500.0,150.0,37.16666666666666,48.54166666666666,54.75,46.819444444444436,51.035714285714285,22.95833333333333,0.0
Fresno,2018-04-30,22.95833333333333,39.0,,,24.0,15.8,21.8,9.8,0.0,17.4,0.0,0.0,1500.0,150.0,23.33333333333333,37.16666666666666,48.54166666666666,36.347222222222214,47.202380952380956,12.105263157894736,0.0
Fresno,2018-05-01,12.105263157894736,54.0,,,38.0,15.6,22.2,9.0,0.0,19.5,0.0,0.0,1500.0,150.0,22.95833333333333,23.33333333333333,37.16666666666666,27.81944444444444,43.02380952380952,28.106382978723403,0.0
Fresno,2018-05-02,28.106382978723403,59.0,,,47.0,19.45,24.5,14.4,0.0,10.4,0.0,0.0,1500.0,150.0,12.105263157894736,22.95833333333333,23.33333333333333,19.4656432748538,36.93765664160401,49.60416666666666,0.0
Fresno,2018-05-03,49.60416666666666,62.0,,,48.0,19.8,28.0,11.6,0.0,12.8,0.0,0.0,1500.0,150.0,28.106382978723403,12.105263157894736,22.95833333333333,21.05665982331716,32.42309230523116,50.47916666666666,0.0
Fresno,2018-05-04,50.47916666666666,66.0,,,48.0,22.45,32.3,12.6,0.0,12.3,0.0,0.0,1500.0,150.0,49.60416666666666,28.106382978723403,12.105263157894736,29.9386042677616,31.687973257612107,55.32142857142857,0.0
Fresno,2018-05-05,55.32142857142857,74.0,,,28.0,23.65,32.5,14.8,0.0,11.7,0.0,0.0,1500.0,150.0,50.47916666666666,49.60416666666666,28.106382978723403,42.72990543735224,31.964758971897822,41.04166666666666,0.0
Fresno,2018-05-06,41.04166666666666,64.0,,,24.0,23.55,31.2,15.9,0.0,19.7,0.0,0.0,1500.0,150.0,55.32142857142857,50.47916666666666,49.60416666666666,51.80158730158729,34.55829638686381,20.625,0.0
Fresno,2018-05-07,20.625,32.0,,,24.0,23.1,31.6,14.6,0.0,16.0,0.0,0.0,1500.0,150.0,41.04166666666666,55.32142857142857,50.47916666666666,48.947420634920626,37.08805829162572,17.0,0.0
Fresno,2018-05-08,17.0,58.0,,,47.0,24.4,33.5,15.3,0.0,13.7,0.0,0.0,1500.0,150.0,20.625,41.04166666666666,55.32142857142857,38.99603174603174,36.754724958292385,25.02083333333333,0.0
Fresno,2018-05-09,25.02083333333333,51.0,,,48.0,24.3,31.8,16.8,0.0,19.8,0.0,0.0,1500.0,150.0,17.0,20.625,41.04166666666666,26.222222222222218,37.45397307859314,31.52083333333333,0.0
Fresno,2018-05-10,31.52083333333333,54.0,,,48.0,22.05,29.5,14.6,0.0,20.6,0.0,0.0,1500.0,150.0,25.02083333333333,17.0,20.625,20.881944444444443,37.01318027210884,42.3125,0.0
Fresno,2018-05-11,42.3125,55.0,,,48.0,22.1,29.4,14.8,0.0,15.6,0.0,0.0,1500.0,150.0,31.52083333333333,25.02083333333333,17.0,24.513888888888886,34.429846938775505,39.395833333333336,0.0
Fresno,2018-05-12,39.395833333333336,53.0,,,48.0,20.15,28.0,12.3,0.0,21.7,0.0,0.0,1500.0,150.0,42.3125,31.52083333333333,25.02083333333333,32.951388888888886,33.26318027210884,38.1875,0.0
Fresno,2018-05-13,38.1875,56.0,,,48.0,20.65,27.9,13.4,0.0,14.5,0.0,0.0,1500.0,150.0,39.395833333333336,42.3125,31.52083333333333,37.74305555555555,30.988095238095237,36.895833333333336,0.0
